text,label
Chào người anh em,CLEAN
Diệp Gia Nghi nghiệp nó quật m chết bh,CLEAN
"Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",CLEAN
9x5=55 chứ ôg a già😆,CLEAN
Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),CLEAN
Xin video với bro 😄,CLEAN
Bị gì bị lắm thế,CLEAN
Du học sinh Úc cơ ấy =)),CLEAN
Ôi vãi a quang :v,CLEAN
Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,CLEAN
Khá khó🙂,CLEAN
Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,CLEAN
Thu Boo xuất sắc ...nhưng em lại làm mấy bạn kia buồn thêm 🤣🤣🤣,CLEAN
"Hoan nghênh ông Trần Dần có tư tưởng tiến bộ, không chống cộng sản Việt Nam nữa. Chỉ có quên đi quá khứ để yêu thương . Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất. Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão.",CLEAN
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,HATE
Võ Thành Nhân huyền thoại :((,CLEAN
Sương mù là tại thiên tai !,CLEAN
Mình không quan tâm cô đơn cho lắm,CLEAN
Thế e thích làm phù thuỷ r bạn nam phải làm s đây a nhỉ😆,CLEAN
Uầy tôi là cưng phán các ông ạ được vl a ưi =))),CLEAN
Maruko Linh,CLEAN
ảnh này ở video Superheroo nghe buồn não ruột -__-,CLEAN
anh tik nói quá đúng luôn,CLEAN
BaVi :)),CLEAN
Ở đây ai là chủ ???,CLEAN
Minh mẫn vcl,OFFENSIVE
Chú Bòn em chặt chứ ko ăn nha =))))))),CLEAN
Cực kì thuyế...hác xì....á chết mẹ..,CLEAN
Lee Quang tôi toàn nghe nhạc của bùi anh tuấn! Hà anh tuấn! Nghe mấy bài này ko thấm nổi,CLEAN
Nguyễn Trọng Thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không. Hay là đợi thiệp hồng,CLEAN
"Có anh Độ, Tết lúc nào chả vui",CLEAN
Nghe nói trước đây 1 số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ. Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,CLEAN
Huy Hoàng =)),CLEAN
Thảo NG thua tại dốt av qa :v,CLEAN
😞,CLEAN
Dần dần thấy jack mất hay,CLEAN
Dì 3 ê dì 3_ là trai hay gái ạ,CLEAN
Vợ Cuốc sư là Bùi Kim Thành còn vợ nhỏ là lisa phạm,CLEAN
Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y như thế :((((,CLEAN
éo nha liu liu,OFFENSIVE
#NAME?,CLEAN
Cận thận nhà ae,CLEAN
Idol,CLEAN
Duyên Phạm ghê tr nay văn chương dữ hén,CLEAN
xin ạ,CLEAN
Hoàng Minh,CLEAN
Anh Trung Magic,CLEAN
"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.",HATE
Ck4mk4m là gì á mn,CLEAN
Cho toyy xin in4 FB hoặc sđt zalo hay ig được hong :33,CLEAN
Chị chữi là chị cứu nhân độ thế🤣🤣,CLEAN
Nghi vấn thầy chà trộn TTBL tu,CLEAN
Lại Hợp Sâm clm đến v thì /ff,OFFENSIVE
Dao chặt không đứt kkkkk🤣🤣🤣🤣🤣🤣,CLEAN
Hồng Thy cái giọng điệu nói cảm thấy hao hao giống ..!,CLEAN
Nhanh thực sự,CLEAN
Đồng Nhung máy bay phalcon 10 tỷ belike :,CLEAN
So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),CLEAN
Nghe kể chuyện tí rồi làm tiếp a Thanh Le :))),CLEAN
Hoàng Anh từ tư 😁,CLEAN
Dep trai moi co nhieu dua yeu,CLEAN
Bt các bạn phan cuồng chửi vậy mik đã ko nêu ra ý kiến cá nhân,CLEAN
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,HATE
Nghe giọng nứkg quá Abe :)),OFFENSIVE
ông làm bố tôi hơi lâu rồi đấy' Tùng sói said,CLEAN
Vì refund top 1 nên tối nay mình xin phép ea..blabla,CLEAN
Anh Trung Giả Kim 😂,CLEAN
Có khả năng tối nay anh bị ngủ ngoài đường :)) tu bi con tờ niu,CLEAN
Bùn nhở,CLEAN
Pháo thủ toang cmnl @@,CLEAN
Bóng khùng bóng điên,OFFENSIVE
Làm thêm chục củ mở hòm csgo anh êi :V,CLEAN
Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,HATE
Cao Lãnh với chúng tôi làyy,CLEAN
Làm nhẹ 3-0 cho nó ok,CLEAN
🙆🏻‍♀️,CLEAN
ặc :),CLEAN
Ai xin inb tôi đi,CLEAN
"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ, tui cam đoan là như dị",CLEAN
"Nhìn chị Minh Hiếu có duyên hết sức, nói chuyện rất chân thật, mặc dù mỗi lần live chửi rất táo tợn nhưng nghe và nhìn chị ấy rất thánh thiện và chất. Chúc chị luôn vui khoẻ và hp. Mong có dịp sẽ được gặp chị",CLEAN
Dễ thương và duyên quá Cô ơi. Love Cô.,CLEAN
Lê Thị Bích Hồng tk trẩu,HATE
nhớ nuôi kiểu tóc này mới đủ combo nhé ae,CLEAN
Chang Chang 🥥🥥🥥🥥,CLEAN
Nguyễn Trang nói thật mị 🤣,CLEAN
1 ng thì giết 1 mạng . 1 ng thì feed tụt lol,CLEAN
Có pải nổ lực là có được đâu.pải có 1 chút gọi là may mắn nữa,CLEAN
Panda Thái đã xem =))),CLEAN
Luôn ủng hộ K-ATM,CLEAN
Còn bạn này nữa thầy ơi,CLEAN
Giọng cuốn vc,CLEAN
Nguyễn Đào Nguyên,CLEAN
thế thua gì bác.. k công khai mà cả VN điều biết tên e nó bác nghĩ ngta đón được sao????,CLEAN
Ai ki nghe nói cũng đi ý về,CLEAN
"không có thì ""sản xuất"" ra -_-",CLEAN
Hợp lí anh ơi,CLEAN
Đc anh ui,CLEAN
Con người sao lại như vậy?,CLEAN
Bảo dan tri thap thì tự ái :),OFFENSIVE
Tại sao phải trả lời thầy,CLEAN
Cái trend Nghe có vẻ mãi chúng nó vẫn chưa chán nhỉ,CLEAN
Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo,OFFENSIVE
Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...🙏🙏🙏,CLEAN
Anh Minh chậm cái con cặc,HATE
reaction thầy ơi,CLEAN
Đoạn đánh răng chiếm quá nhiều thgian :)),CLEAN
"Đù dại ghê, bọn đấy ngày nào nó cũng lên Phường xiên cho nó 1 cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum",OFFENSIVE
Chị 3 cho e 200 triệu đi làm chymmm đi huhuh,CLEAN
Tóm lại là chửi nhau phải có văn hoá 😂😂😂👏🏻👏🏻 e thích page rồi đấy 😂😂,CLEAN
A tiệp:,CLEAN
Khi đi nhớ đem theo Susan nha thầy :)),CLEAN
cái tay cái tay,CLEAN
Vẫn có 1 người tặng quà va len thai cho mình mn ạ.,CLEAN
Giật cho mất mẹ cả cái mụn ruồi (:,CLEAN
Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhìn hoài ko ra 😑😑,OFFENSIVE
Đào Hà Văn Rinaky Cn anh chị ơi cẩn thận nhé ạ,CLEAN
Điều kiện hạn chế viruss phát tán có thể là phòng trên 26 độ là cơ bản. Còn mọi thứ điều cis thể. Hãy đọc kĩ những bài nói về viruss corona the trang chính thống nha,CLEAN
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,HATE
Optimusthree với 99% sức mạnh,CLEAN
:3,CLEAN
Hahahaha,CLEAN
"ô thế mọi người k bit ak, Trần Dần mắc bệnh từ khi chưa có dịch ak...ông này mắc loại bệnh còn nguy hiểm hơn Covid 19...",CLEAN
Đồng bọn nhỏ đó khi zo tù :))),CLEAN
Nguyễn Thị Luận Hà Nam cũng vậy :),CLEAN
gáy to thế mi anh,CLEAN
Bảo Tín đi du lịch gặp con gì ngứa ngứa ở biển e đã sợ lắm r sao xuất hiện con này nữa,CLEAN
"Học cách kiểm soát bộ não của mình đi, thích thì tiến tới, ghét thì bỏ qua",CLEAN
Phạm Linh ko co cl,OFFENSIVE
Qtrong gì trước sau gì chẳng về 1 nhà,CLEAN
Tức diêng là idol vẫn còn ngon cơm. Tức diêng là mắt thấy tai nghe chứ ko phải nằm chiêm bao,CLEAN
Con Thương cô lắm,CLEAN
Cực kỳ thu....,CLEAN
Thánh chửi lãnh án,CLEAN
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh).,HATE
À thế bạn ý hát bài j jui có ai giới thiệu cho mình đc ko. Lâu jui mình chẳng nghe bài hát mới nào cả,CLEAN
"Chúc anh em năm mới vui vẻ, an khang thịnh vượng.",CLEAN
Có táo quân thỳ mới là tết chứ,CLEAN
"Samsung vẫn đi làm bth nhé, mỗi ngày đi làm là 1 ngày vui 😜😜😜😜",CLEAN
Chú trung đầu L chứ chú tí đầu lân clg 🤣,HATE
"Chi đep qua chi,e thích qua",CLEAN
Oh shjt,OFFENSIVE
Cáo từ,CLEAN
Nhật Long toang. Kiểu ni còn lâu lắm :((,CLEAN
Hiếu Bùi sủa dơ,HATE
Ok trung bảnh,CLEAN
:)),CLEAN
ad nói phét à bê tông ăn thế nào đc,CLEAN
Con thuong co ba,CLEAN
Á nhà tiên tri ủng hộ nghị quyết 36 rồi nhé 🤣🤣🤣,CLEAN
Nguyễn Thị Phương bạn ơi cho mình xin ảnh để sống ảo đc k ạ?,CLEAN
Chào nhà báo vũ hoàng Lân. Chào danh hài vũ trụ trần tiger:-),CLEAN
Ok đẹp trai :v,CLEAN
Lan Hoa Tùng có dùng acc clone đi cmt đâu... dạo ??,CLEAN
ăn bận như cac họ,OFFENSIVE
Cực kì thuyết p.....,CLEAN
Nhảy thế kia nhỡ may tiếp đất ko chuẩn lại ngã thì sao. thôi tôi tớ nhiều cứ bảo 1 thằng ra cõng cho chắc. :)),CLEAN
reaction thầy ơi,CLEAN
Chửi hay lắm ad,CLEAN
Chào nhéee,CLEAN
Thu Trang,CLEAN
Đau đầu vl :)),CLEAN
Mày nói như lồn. Bọn đa cấp nó đóng thuế còn gấp chục lần doanh nghiệp. Tao cho thằng thớt ăn lồn không oan chứ thằng bên dưới?,HATE
Thế cơ á,CLEAN
"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",OFFENSIVE
tks thầy nha ♥,CLEAN
Quá ngu lồn đi =))),OFFENSIVE
Fan cô Minh hiếu đâu taaaa ❤️,CLEAN
Nguyen Ngoc Tam gia phú phải không 😂,CLEAN
Tình đồng chí thật kiên trung!Sách lịch sử dạy giặc tra tấn dã man thế nào cũng không mở mồm có #,HATE
bác dần chớm có tình yêu nước r đấy,CLEAN
Toang quá thầy ơiiii :))),CLEAN
"Làm cái đéo gì thì làm đừng để ng ta nhắc đến VN là gắn với từ ""ăn cắp"" :))",OFFENSIVE
chị ba nói chuyện dễ thương quá,CLEAN
.,CLEAN
Cả nước đồng lòng riêng em thi ko,CLEAN
Còn ngưỡng mộ có ba nhé hihihi,CLEAN
Báo công an đi rồi quản lý thị trường hốt em luôn thể.,CLEAN
Im mẹ đi thằng mặt lon,HATE
thằng ad này não bị delay 3 năm à :)),HATE
🤣🤣🤣,CLEAN
How to nói đểu vợ :)),CLEAN
Mới hả mn 😅,CLEAN
"Ad hãy tìm số báo nào của báo quân đội khi viết "" ba-rách ô-ba-ma"" và ""đô-na trăm "". Vãi báo",OFFENSIVE
Bọn chó sủa bậy,OFFENSIVE
Thì ra thầy đã có tính tấu hài từ lúc làm tuyển thủ chuyên nghiệp,CLEAN
Sếp nhà mình cũng thế 🤩,CLEAN
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày vào mà đọc. tưởng ai cũng như chúng mày hết đấy,HATE
Các em nầy khi vào báo “công ngủ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè :,HATE
Giận méo mặt =)),CLEAN
MV khá chất lượng,CLEAN
Đi làm cũng khổ :((,CLEAN
Thầy duo với levi để Tú bơ vơ,CLEAN
Lại 1 người nữa ra đi,CLEAN
Bác ơi chói quá,CLEAN
Tự hào quá VN ơi 😂,CLEAN
Khổ thân anh độ giải này mà nát mấy ông anti lại um lên cho mà xem ... Rồi team lại đủ thứ buồn. Còn ngày mai nữa mong các anh cố gắng,CLEAN
Ai yêu ib nhé,CLEAN
Chu Hoài tạo hình suốt mà giờ mới trend,CLEAN
em mê con nhỏ ngoài Trần Duy Hưng nhưng phải cố gắng nhiều hơn !!!,CLEAN
Tại mấy a tàu mà ra,CLEAN
Sợ thật ấy :))),CLEAN
Xin phép cả nhà nhaaaa!!!,CLEAN
"so với "" nghệ thuật sắp đặt "" trị giá 8.100 tỷ vnd của ông Hoàng Trung Hải thì tác phẩm ""trái chuối"".... rất là chuối !",CLEAN
Nước hoa đểu lấy đâu ra xịn :))) Hot girl méo gì nhìn xấu vkl thề :))),HATE
"Sam luôn luôn đi theo cặp nhé, 2 con chồng lên nhau ý",CLEAN
Trường Giang no no . Đg chỉ trích vì tính ích kỷ . K nghĩ cho ngkhac . Chứ bả sống thì tốt th chứ có j đâu,CLEAN
",..",CLEAN
Chúc mừng năm mới,CLEAN
Quân tâm ae có link xem chưa bao phê luôn ae ơi,CLEAN
Thầy làm gì cũng được đừng ra MV hát là được nha thầy. Nói chứ dm mãi yêu thầy,CLEAN
cứ như là 1 kịch bản hay cho việc hợp lý hóa xây sân bay long thành!,CLEAN
Cổ động viên quảng ninh nhưng rất thích chất cổ động viên hải phòng💐,CLEAN
Đưa ô già đi trốn hợp lý hơn =)),CLEAN
Suni Hạ Linh sau khi thấy vid này ☹️,CLEAN
Bóng dơ,HATE
Mai Ánh Thi có nha em ơi ibx nha,CLEAN
Có tiền đi đường quyền =)),CLEAN
Trần Bình Trọng Vừa xog = 1k like :) các bác sống nhanh vl :),OFFENSIVE
Tôi nghĩ tiền không làm gì được các ông ạ =)),CLEAN
Nhớ đến đấng nha 3 gà 😎😎,CLEAN
Mê cô quá,CLEAN
"Vô tình thấy, giống anh quá 🤨",CLEAN
Đặng Thái Hoàng Châu dư âm từ năm này sang năm khác,CLEAN
Tú ko cho anh 3 blue và cái kết :)),CLEAN
Fan cứng nè,CLEAN
"em đây anh ơi , bây giờ em mới nhận ra bên em còn có 1 người anh tuyệt vời như anh anh Độ ạ 🥺",CLEAN
I love you to ca mo,CLEAN
Đumoe nói leo,OFFENSIVE
"Pha đánh răng ám ảnh nhất lịch sử điện ảnh, có thể lưu truyền mọi thời đại, là biểu tượng để các diễn viên học tập theo🤣🤣🤣🤣",CLEAN
Đu.má tu.biên tu.diēn luon...,OFFENSIVE
🙃,CLEAN
"hoc cc gi` nua~, ve san voi ma` kiem an =]]z",OFFENSIVE
Thanh Phương c làm 1 bài review đi c,CLEAN
Đình Quang thô nhưnh thật quá bác ạ =))),CLEAN
Abe có thể chiếm đoạt được trái tim của Tiểu Tiểu nhưng riêng blue của Tiểu Tiểu thì Abe tuổi lol chiếm đoạt được :vv,CLEAN
Đúng là chó làm người phải chịu ... haizzz,OFFENSIVE
Bùi Minh Huệ crush ưii . Anh thích em đó 😶,CLEAN
Cô Minh hiếu nói chuyện thật thà dễ thương quá ✌️✌️✌️✌️✌️,CLEAN
Ai biết tên kiểu này là gì không ạ,CLEAN
Uống nước là đi tù,OFFENSIVE
đéo hiểu kiểu gì,OFFENSIVE
e chúc panda của abe iu dấu 20/10 vui vẻ nhé và đừng quên xoá kênh,CLEAN
Đờ mờ cuộc sống,OFFENSIVE
Phải xử lý hình sự mới sáng mắt ra đc !,CLEAN
Dạo này nước mỹ ko dc an toàn . Sao không thấy cây súng 🔫🔫🔫 của nhà tien tri vậy,CLEAN
em về tộc anh r nhưng chưa có fc🤣,CLEAN
khó chịu vãi😂,CLEAN
Ri thì như thor luôn,CLEAN
Góp vui một tí :3,CLEAN
Mọi người xin dành 1 chút thời gian nguyên góp mỗi người 1 like vào ảnh đại diện của tôi được hong :)),CLEAN
triệu hồi phúc nghẹo..trọng lú,HATE
"nói z thôi cho dân chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấy. nó chơi ngầm thì đố ai biết. cái nhà nước này nó nát bét hết rồi. các bác đừng có mơ làm nhà nước nữa, từ cấp 3 đã xác định là làm nghề gì mà k liên qua nhà nước rồi, vì tao biết g",HATE
Thời gian ủ bệnh lên tới 14 ngày khả năng cao vẫn phải cách li theo dõi thêm,CLEAN
Mặt độ trông buồn cười vl kiểu con ơi cho bố cầm ms kkk,CLEAN
Pha xử lí hay nhất từng xem,CLEAN
Thêm quả carô ở trong nữa nhìn chán 😑😓,CLEAN
Bà này đỉnh thật. Nữ tướng đáng khâm phục. Giá như mà Việt Nam! Có sự lãnh đạo của bà thay cho NTKN thì hay cho đất nước.,CLEAN
dư luận viên vào ẳng nào :v,HATE
from,CLEAN
Nghe kì kì sao á. Con trai với mẹ mà liệu mấy cái lời nghe 😋😋😡,CLEAN
Lisa cai lậy 😍,CLEAN
Tq hắc xì cả thế giới phải rung chuyển,CLEAN
NGHIỆP BÊ ĐÊ NẶNG LẮM R MÁ ƠI,HATE
Duy Trần xin video với,CLEAN
Yêu thầy dấu bé 3,CLEAN
Nó giống vãi lol a ưi!,CLEAN
Cũng đã đến lúc những người làm công tác bảo vệ an ninh.các khu phố cần vào cuộc. Vì hình ảnh của đất nước không để mấy thằng lưu manh làm mất mặt được,HATE
add e muốn mua cái này mua ở đâu ạ.,CLEAN
Lại lên cơn hoang tưởng bậc cao hơn!😁😂🤣,CLEAN
Nguyễn Minh bộ ba siêu phẩm r sao đọ,CLEAN
Phương Minn ngộ nghĩnh nhỉ lạ lone nhỉ ? Rõ ràng cố tình tạo phốt để bán hàng online :))) mà làm như hay lắm . Sống dơ v ai mua đồ cho trời .,HATE
@Chiến trần chuẩn 👌,CLEAN
@Yo Min :)))),CLEAN
HÌNH NHƯ THIẾU 4X :3,CLEAN
Chỉ chịch xã giao thôi =)))),OFFENSIVE
Trúc Ngân ơ s lại đi so sánh dink kout của cây a tê em vs đỉnh cao của Jack vại bạn?? 🙃🙃Thiệt là khập khiễng vs cả thiệt thòi cho bạn nện đàn dzợ🙂🙂🙂,CLEAN
Hoàng Kiên nói đúng lại còn chuẩn 🤣🤣,CLEAN
Có cc nè em :),HATE
Page lâu lâu nói chuyện chuẩn dễ sợ >.<,CLEAN
Kinhh,CLEAN
Quảng cáo lộ liễu quá 😁😁,CLEAN
Nghĩ ló chán :),CLEAN
Nghe thế thôii làm theo mấtt hếttt =))),CLEAN
Loại này phải,CLEAN
buồn a ạ 😞,CLEAN
Mong mấy bác được cách li ở nhà đừng trốn là em vui rồi :))))) cứ đi nhông nhông thì em cũng sợ :)))),CLEAN
bậy zòi :v nhìn bên trái đi :D đừng nhìn bên phải :v,CLEAN
hợp lý a ưi 🤣🤣,CLEAN
Nguyễn Trọng Hiệp hiệp bmw à 🤣🤣,CLEAN
Do lười chụp ảnh có mỗi kiểu chụp trộm thôi,CLEAN
Thân hình phụ huynh gương mặt học sinh,CLEAN
"Giống như câu , Ngêu sò tranh nhau , Ngư ông đắc lợi",CLEAN
Hợp lí anh ưiii,CLEAN
Đinh Nguyễn Vươn Anh Tuan,CLEAN
Vũ Mai Ly ui thật á,CLEAN
Huyền Khánh Phùng chả vờ chả vịt :)),CLEAN
Nguyễn Định tui xợ á,CLEAN
Minh Tran uh mình nghe cũng nghĩ là người miền trung mà bả ko biết phân biệt,CLEAN
Chị ba sang quá à...Đi hửi quần xì của con les,HATE
Đi sau Việt Nam hàng thập kỉ,CLEAN
chúng mày phải thông cảm các anh ý đều có ước mơ làm hình sự nhưng dòng đời xô đẩy phải đi làm trật tự và giao thông .,CLEAN
Hang Vu đú trend lâu roài =)),CLEAN
Thuyết phục vl,CLEAN
"Rõ ràng chức danh chủ tịch mà,sao ý thức lại khác vậy😌((",CLEAN
"Nguyễn Thanh Mai Trúc t hay kể chuyện cười cho m nghe , nh làm việc gì nhớ tập trung chuyên môn nghe ch =)))",CLEAN
"Nhà nói dóc, nhà ảo tưởng chứ biết con mẹ gì mà tiên tri 😄🤣😂😂😂😃😂😭😢😘",HATE
bạn trai nhà người ta chưa bao giờ làm tôi thất vọng :)),CLEAN
đợi ei,CLEAN
Tiêu Chảy Cấp .,CLEAN
sang năm mới mong anh bớt hí nha,CLEAN
Lúc đó tôi tưởng thế là ngầu,CLEAN
nhìn chất vãi lìn anh ơiiiii,CLEAN
Nguyễn Tuấn Phong thương chị quá,CLEAN
Âu cũng là số phận muốn đóng vai thiện nhưng đời xô đẩy ...,CLEAN
Hi vọng chị kế toán cũng thấy cái này. Chị ơi vì một cái Tết ấm no hãy thương tụi em,CLEAN
Ngọc Huy học hỏi idol để có quả đầu đẹp nha =))),CLEAN
BenBen Duong,CLEAN
#trời ơi cưng quá cô ơi,CLEAN
Chui nua di co cho bo tat ngua,OFFENSIVE
Nể nhất anh phóng viên! Ngồi mặt tỉnh bơ ko biến sắc,CLEAN
Vợ em mấy anh ơi :)) em lớp trưởng nè,CLEAN
bản kia hay hơn,CLEAN
dạo này pản động nhiếu quá mấy bạn bò đỏ ah :D,HATE
chất vlon a ưii,CLEAN
Ủa ah nói hay vậy🤣🤣,CLEAN
"cái cap hơi gây war đó nha!vậy tui nói chương trình mấy người này nọ mấy người chịu không?nói gì thì suy nghĩ vào,xin lỗi chứ chương trình có duyên mà cmt đ có duyên thì dẹp hay im m* mồm cho xong!Thân!!",HATE
"Nhà tiên tri hay đấy, ông có thêm 1 phiếu về VN chơi nhé 👌",CLEAN
đặt khô gà ở đâu v thầy ơi,CLEAN
Ngọc Như chắc là sẽ bíu ty phun lắm đâyyy,CLEAN
nhà thầy đâu tết ghé coi\.,CLEAN
Lê văn tám là hư cấu à bacd,CLEAN
